Bus,p_lat,p_lon,institute
KA53D5162,12.90782,77.60426,MAHE
KA53D0166,12.95573552,77.59277575,MAHE
KA53B6965,13.049924,77.592684,MAHE
KA53D8420,12.917237,77.623038,MAHE
KA53D4606,12.93768849,77.51978608,MAHE
KA53D8419,13.04816628,77.50003502,MAHE
KA53D5165,12.99823052,77.5530152,MAHE
KA53D0158,13.046461,77.555852,MAHE
KA07A9086,12.96990935,77.75017944,MAHE
KA53D2958,13.01992925,77.70958107,MAHE
KA53D2719,12.9252461,77.64906656,MAHE
KA53B6967,13.21327379,77.55474242,MAHE
KA53B6964,13.19362612,77.65020753,MAHE
KA07A9089,13.10627501,77.57654828,MAHE
KA53AB1814,13.0841,77.595852,MAHE
